team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
268,2040,155,4,0,0,73,730,2769,741,1977,51,33,0,1,242,82,0,5931,0,0.9816,4.1244,0.3388,0.0000
269,2040,155,4,0,0,72,720,2703,702,1953,48,25,0,11,224,70,0,5859,0,0.9822,4.0783,0.3125,0.0000
270,2040,155,4,0,0,72,720,2702,749,1885,68,34,0,4,258,66,0,5655,0,0.9748,4.1920,0.2558,0.0000
271,2040,155,4,0,0,71,710,2742,748,1922,72,28,0,6,268,100,0,5766,0,0.9737,4.1675,0.3731,0.0000
272,2040,155,4,0,0,73,730,2841,809,1969,63,19,0,4,358,104,0,5907,0,0.9778,4.2326,0.2905,0.0000
273,2040,154,4,0,0,74,740,2690,651,2000,39,28,0,5,252,94,0,6000,0,0.9855,3.9765,0.3730,0.0000
274,2040,155,4,0,0,72,720,2773,777,1946,50,24,0,5,274,110,0,5838,0,0.9820,4.1978,0.4015,0.0000
275,2040,155,4,0,0,73,730,2808,820,1920,68,47,0,7,332,82,0,5763,0,0.9758,4.2790,0.2470,0.0000
276,2040,155,4,0,0,73,730,2850,818,1948,84,34,0,12,332,86,0,5844,0,0.9705,4.2598,0.2590,0.0000
277,2040,156,5,0,0,68,680,2542,682,1806,54,40,0,14,206,46,0,5418,0,0.9788,4.1329,0.2233,0.0000
278,2040,156,5,0,0,68,680,2664,762,1823,79,30,0,5,222,58,0,5469,0,0.9703,4.2540,0.2613,0.0000
279,2040,156,5,0,0,68,680,2542,652,1859,31,35,0,4,182,62,0,5577,0,0.9878,4.0522,0.3407,0.0000
280,2040,156,5,0,0,68,680,2550,664,1823,63,33,0,3,168,54,0,5472,0,0.9753,4.0905,0.3214,0.0000
281,2040,156,5,0,0,68,680,2550,673,1811,66,27,0,5,172,68,0,5433,0,0.9741,4.1149,0.3953,0.0000
282,2040,156,5,0,0,68,680,2496,601,1860,35,37,0,1,160,66,0,5580,0,0.9860,3.9694,0.4125,0.0000
283,2040,156,5,0,0,68,680,2525,661,1825,39,31,0,2,98,30,0,5475,0,0.9846,4.0866,0.3061,0.0000
284,2040,156,5,0,0,68,680,2649,747,1835,67,41,0,5,258,54,0,5505,0,0.9747,4.2213,0.2093,0.0000
285,2040,156,5,0,0,68,680,2624,715,1857,52,30,0,4,234,66,0,5571,0,0.9802,4.1551,0.2821,0.0000
286,2040,156,5,0,0,68,680,2526,653,1826,47,30,0,4,224,70,0,5478,0,0.9814,4.0728,0.3125,0.0000
287,2040,156,5,0,0,68,680,2610,722,1840,48,33,0,3,204,68,0,5520,0,0.9816,4.1772,0.3333,0.0000
288,2040,156,5,0,0,68,680,2520,669,1800,51,35,0,5,240,78,0,5400,0,0.9798,4.1150,0.3250,0.0000
289,2040,156,5,0,0,67,670,2478,639,1784,55,30,0,6,184,58,0,5355,0,0.9778,4.0723,0.3152,0.0000
290,2040,156,5,0,0,67,670,2602,826,1733,43,54,0,6,286,70,0,5199,0,0.9835,4.4299,0.2448,0.0000
291,2040,157,5,0,0,76,760,2867,767,2056,44,33,0,7,354,88,0,6168,0,0.9847,4.1192,0.2486,0.0000
292,2040,157,5,0,0,76,760,2873,780,2051,42,28,1,8,236,78,0,6153,0,0.9854,4.1409,0.3305,0.0000
293,2040,157,5,0,0,76,760,2857,802,2005,50,38,0,5,340,134,0,6015,0,0.9825,4.2000,0.3941,0.0000
294,2040,157,5,0,0,76,760,2871,775,2046,50,30,0,4,376,126,0,6138,0,0.9826,4.1364,0.3351,0.0000
295,2040,157,5,0,0,76,760,2886,814,1989,83,35,0,254,400,72,0,5967,0,0.9712,4.2278,0.1800,0.0000
296,2040,157,5,0,0,76,760,2853,761,2038,54,34,0,15,234,94,0,6114,0,0.9811,4.1202,0.4017,0.0000
297,2040,157,5,0,0,76,760,2873,773,2038,62,25,0,5,388,122,0,6114,0,0.9784,4.1379,0.3144,0.0000
298,2040,157,5,0,0,76,760,2895,834,2008,53,58,0,7,370,120,0,6024,0,0.9817,4.2460,0.3243,0.0000
299,2040,158,6,0,0,76,760,2897,791,2034,72,24,1,3,218,104,0,6102,0,0.9751,4.1667,0.4771,0.0000
