message_id,subject,player_id_0,player_id_1,player_id_2,player_id_3,player_id_4,team_id_0,team_id_1,team_id_2,team_id_3,team_id_4,league_id_0,league_id_1,importance,message_type,hype,sender_type,sender_id,recipient_id,trade_id,date,deleted,notify,ongoing_story_id,text_is_modified
2733,"",49766,0,0,0,0,883,0,0,0,0,102,0,3,7,1,5,883,0,0,"2039-4-18",0,1,-1,0
2734,"",50095,0,0,0,0,905,0,0,0,0,103,0,3,7,1,5,905,0,0,"2039-4-18",0,1,-1,0
2735,"",50269,0,0,0,0,909,0,0,0,0,103,0,3,7,1,5,909,0,0,"2039-4-18",0,1,-1,0
2736,"",0,0,0,0,0,890,0,0,0,0,102,0,1,3,3,5,890,0,0,"2039-4-18",0,1,-1,0
2737,"",0,0,0,0,0,888,0,0,0,0,102,0,1,3,3,5,888,0,0,"2039-4-18",0,1,-1,0
2738,"",0,0,0,0,0,883,0,0,0,0,102,0,1,3,3,5,883,0,0,"2039-4-18",0,1,-1,0
2739,"",27363,0,0,0,0,50,0,0,0,0,0,0,0,2,0,2,27363,22,0,"2039-4-18",0,1,-1,0
2740,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22,0,"2039-4-18",0,1,-1,0
2741,"",0,0,0,0,0,57,0,0,0,0,145,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2742,"",0,0,0,0,0,176,0,0,0,0,146,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2743,"",0,0,0,0,0,185,0,0,0,0,147,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2744,"",0,0,0,0,0,194,0,0,0,0,148,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2745,"",0,0,0,0,0,206,0,0,0,0,149,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2746,"",0,0,0,0,0,213,0,0,0,0,150,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2747,"",0,0,0,0,0,224,0,0,0,0,151,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2748,"",0,0,0,0,0,758,0,0,0,0,152,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2749,"",0,0,0,0,0,241,0,0,0,0,153,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2750,"",0,0,0,0,0,248,0,0,0,0,154,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2751,"",0,0,0,0,0,265,0,0,0,0,155,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2752,"",0,0,0,0,0,282,0,0,0,0,156,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2753,"",0,0,0,0,0,292,0,0,0,0,157,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2754,"",0,0,0,0,0,299,0,0,0,0,158,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2755,"",0,0,0,0,0,310,0,0,0,0,159,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2756,"",0,0,0,0,0,403,0,0,0,0,160,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2757,"",0,0,0,0,0,334,0,0,0,0,161,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2758,"",0,0,0,0,0,753,0,0,0,0,172,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2759,"",0,0,0,0,0,883,0,0,0,0,102,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2760,"",0,0,0,0,0,914,0,0,0,0,103,0,3,0,2,5,0,0,0,"2039-4-18",0,1,-1,0
2761,"",0,0,0,0,0,0,0,0,0,0,145,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2762,"",0,0,0,0,0,0,0,0,0,0,146,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2763,"",0,0,0,0,0,0,0,0,0,0,147,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2764,"",0,0,0,0,0,0,0,0,0,0,148,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2765,"",0,0,0,0,0,0,0,0,0,0,149,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2766,"",0,0,0,0,0,0,0,0,0,0,150,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2767,"",0,0,0,0,0,0,0,0,0,0,151,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2768,"",0,0,0,0,0,0,0,0,0,0,152,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2769,"",0,0,0,0,0,0,0,0,0,0,154,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2770,"",0,0,0,0,0,0,0,0,0,0,155,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2771,"",0,0,0,0,0,0,0,0,0,0,156,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2772,"",0,0,0,0,0,0,0,0,0,0,157,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2773,"",0,0,0,0,0,0,0,0,0,0,158,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2774,"",0,0,0,0,0,0,0,0,0,0,159,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2775,"",0,0,0,0,0,0,0,0,0,0,160,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2776,"",0,0,0,0,0,0,0,0,0,0,161,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2777,"",0,0,0,0,0,0,0,0,0,0,172,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2778,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2779,"",0,0,0,0,0,0,0,0,0,0,101,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2780,"",0,0,0,0,0,0,0,0,0,0,102,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2781,"",0,0,0,0,0,0,0,0,0,0,103,0,3,0,1,5,0,0,0,"2039-4-18",0,1,-1,0
2782,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-18",0,1,-1,0
2783,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-18",0,1,-1,0
2784,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-18",0,1,-1,0
2785,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-18",0,1,-1,0
2786,"",40239,28416,0,0,0,53,34,0,0,0,145,0,3,1,3,5,53,0,0,"2039-4-18",0,1,-1,0
2787,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22,0,"2039-4-18",0,1,-1,0
2788,"",35166,45583,37996,33563,0,33,50,0,0,0,145,0,3,1,3,5,33,0,0,"2039-4-18",0,1,-1,0
