human_manager_id,team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,cera,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
15,46,2032,145,0,1,1,1,5561,1457,6253,2242,1400,1319,516,571,749,682,1466,1364,23476,1,651,162,86,76,56,933,266,20,38,27,174,9,1,42,58,62,160,167,61,92,29,489,2,1,71,31,79,12.5551,0.2518,0.3262,0.4032,0.7294,8.6459,8.1457,1.0746,3.5263,0.0123,'',0.0000,0.3765,0.5309,3.1852,0.6588,0.3152,0.3272,4.2118,36.0614,0.0000,1.3525,0.5180,2.3100,0.2986
15,46,2033,145,0,1,1,1,5446,1422,6169,2305,1352,1222,451,594,776,738,1442,1425,22772,2,603,162,67,95,39,846,262,20,35,41,203,7,1,52,53,73,162,133,67,64,22,441,0,0,75,27,64,12.7725,0.2483,0.3284,0.4232,0.7516,8.5530,7.7306,1.2842,3.7577,0.0000,'',0.0000,0.4136,0.4136,2.7840,0.6393,0.3438,0.3673,4.6687,37.7645,0.0000,1.3679,0.5030,2.0572,0.2833
15,46,2034,145,0,1,1,1,5392,1434,5963,2229,1259,1421,489,461,650,618,1395,1308,22437,1,545,162,89,73,52,760,249,16,31,29,221,4,1,51,45,62,158,118,82,67,12,383,4,3,88,34,63,11.1815,0.2335,0.2997,0.4134,0.7131,7.8998,8.9163,1.3867,2.8926,0.0247,'',0.0000,0.5062,0.5494,3.0185,0.8125,0.1791,0.4125,3.8778,41.1688,0.0000,1.1992,0.5161,3.0824,0.2745
15,46,2035,145,0,1,1,1,5474,1434,6078,2450,1344,1467,484,482,758,732,1351,1321,23011,2,606,162,79,83,50,786,272,16,30,24,262,4,1,35,64,75,162,112,73,75,21,444,0,0,65,27,69,11.9254,0.2455,0.3136,0.4476,0.7612,8.4312,9.2028,1.6436,3.0237,0.0000,'',0.0000,0.4506,0.4877,2.9877,0.7042,0.2800,0.3649,4.5920,37.9719,0.0000,1.2728,0.5056,3.0436,0.2866
15,46,2036,145,0,1,1,1,5542,1468,6200,2364,1335,1374,494,541,757,725,1432,1419,23531,0,601,162,81,81,45,808,265,25,39,22,240,2,0,29,62,53,161,118,67,65,19,439,1,0,77,34,56,11.8263,0.2409,0.3124,0.4266,0.7389,8.1846,8.4237,1.4714,3.3168,0.0062,'',0.0000,0.4136,0.5000,3.0494,0.7031,0.2923,0.3667,4.4448,39.1531,0.0000,1.2779,0.5023,2.5397,0.2760
15,46,2037,145,0,1,1,1,5492,1432,6158,2463,1358,1293,475,543,842,783,1461,1368,23138,1,589,162,73,89,40,800,273,20,36,23,262,8,0,18,76,67,160,112,63,61,17,427,2,0,78,29,42,12.3658,0.2473,0.3206,0.4485,0.7691,8.5329,8.1245,1.6463,3.4119,0.0123,'',0.0000,0.3889,0.4506,2.9321,0.7018,0.2787,0.3747,4.9199,39.2835,0.0000,1.3272,0.5164,2.3812,0.2759
15,46,2038,145,0,1,1,1,5698,1456,6458,2689,1507,1251,369,620,960,897,1450,1473,24475,2,648,162,55,107,28,900,307,28,41,25,275,3,0,19,75,71,161,152,50,50,21,486,1,0,77,13,47,13.5803,0.2645,0.3418,0.4719,0.8138,9.3110,7.7293,1.6991,3.8307,0.0062,'',0.0000,0.3086,0.3395,2.2778,0.5714,0.4200,0.3313,5.5421,37.7701,0.0000,1.4602,0.4961,2.0177,0.2924
15,46,2039,145,0,1,1,1,5715,1440,6526,2883,1622,1256,334,652,1009,959,1447,1401,24792,1,630,162,40,122,24,973,328,27,53,30,291,9,0,16,95,79,161,149,33,51,27,468,1,1,82,29,41,14.7028,0.2838,0.3621,0.5045,0.8665,10.1352,7.8482,1.8183,4.0741,0.0062,'',0.0000,0.2037,0.2469,2.0617,0.4706,0.5294,0.3440,5.9924,39.3524,0.0000,1.5788,0.5081,1.9264,0.3153
15,46,2040,145,0,1,1,1,1865,467,2121,891,517,385,124,209,329,305,486,469,7909,0,210,54,16,38,13,314,113,10,11,9,81,1,0,7,23,26,54,36,16,19,6,156,0,0,18,10,13,14.4925,0.2772,0.3562,0.4777,0.8340,9.9636,7.4197,1.5610,4.0278,0.0000,'',0.0000,0.2963,0.2963,2.2963,0.6842,0.3158,0.3462,5.8779,37.6619,0.0000,1.5546,0.5089,1.8421,0.3092
16,49,2017,145,1,0,1,0,5506,1459,6064,2095,1317,1549,544,442,629,583,1511,1136,22754,2,628,162,106,56,60,880,250,44,24,33,154,1,1,31,49,47,158,108,91,77,17,466,4,3,107,30,75,11.1354,0.2392,0.3000,0.3805,0.6805,8.1203,9.5508,0.9495,2.7253,0.0247,'',0.0000,0.5617,0.6543,3.3580,0.7792,0.2208,0.3391,3.5947,36.2325,0.0000,1.2051,0.5708,3.5045,0.3039
16,49,2018,145,1,0,1,0,5559,1473,6098,2080,1331,1542,493,415,589,551,1589,1110,22798,0,661,162,94,68,50,905,256,53,26,17,153,4,0,33,54,45,158,111,100,72,22,499,4,2,98,32,81,10.9430,0.2394,0.2963,0.3742,0.6704,8.1324,9.4216,0.9348,2.5356,0.0247,'',0.0000,0.6173,0.5802,3.0432,0.6944,0.3056,0.3166,3.3666,34.4902,0.0000,1.1853,0.5887,3.7157,0.3028
16,49,2019,145,1,0,1,0,5563,1463,6143,2185,1402,1405,495,428,651,590,1601,1191,22449,1,594,162,85,77,40,946,279,47,52,27,150,3,0,34,37,53,162,125,88,63,23,432,0,0,94,36,59,11.5811,0.2520,0.3089,0.3928,0.7017,8.6228,8.6412,0.9226,2.6323,0.0000,'',0.0000,0.5432,0.5247,3.0556,0.6349,0.3651,0.3750,3.6287,37.7929,0.0000,1.2506,0.5734,3.2827,0.3084
16,49,2020,145,1,0,1,0,5585,1471,6097,2204,1364,1379,461,395,650,604,1673,1188,22313,2,578,162,81,81,32,885,284,48,31,29,166,1,0,33,44,38,154,105,91,54,21,416,8,4,79,37,43,10.9896,0.2442,0.2971,0.3946,0.6917,8.3416,8.4333,1.0152,2.4156,0.0494,'',0.0000,0.5617,0.5000,2.8457,0.6038,0.3889,0.3702,3.6938,38.6038,0.0000,1.1952,0.5848,3.4911,0.2943
