league_id,sub_league_id,year,all_star_pos,all_star
145,0,1952,4,14266
145,0,1952,5,14047
145,0,1952,6,11839
145,0,1952,7,5736
145,0,1952,8,2910
145,0,1952,9,5773
145,0,1952,10,6374
145,0,1952,11,6775
145,0,1952,12,7020
145,0,1952,13,8172
145,0,1952,14,9039
145,0,1952,15,9264
145,0,1952,16,9435
145,0,1952,17,10233
145,0,1952,18,10856
145,0,1952,19,11273
145,0,1952,20,11822
145,0,1952,21,12886
145,0,1952,22,13877
145,0,1952,23,14898
145,0,1952,24,17032
145,0,1952,25,17638
145,1,1952,0,15084
145,1,1952,1,4192
145,1,1952,2,10429
145,1,1952,3,14112
145,1,1952,4,16201
145,1,1952,5,7863
145,1,1952,6,14537
145,1,1952,7,12273
145,1,1952,8,15166
145,1,1952,9,2565
145,1,1952,10,5390
145,1,1952,11,6915
145,1,1952,12,8084
145,1,1952,13,8145
145,1,1952,14,8498
145,1,1952,15,8906
145,1,1952,16,9602
145,1,1952,17,10733
145,1,1952,18,13784
145,1,1952,19,14075
145,1,1952,20,14169
145,1,1952,21,14367
145,1,1952,22,14681
145,1,1952,23,15345
145,1,1952,24,15418
145,1,1952,25,15519
145,1,1952,26,17051
145,0,1953,0,13291
145,0,1953,1,3158
145,0,1953,2,16621
145,0,1953,3,7400
145,0,1953,4,14266
145,0,1953,5,4314
145,0,1953,6,17723
145,0,1953,7,10856
145,0,1953,8,2910
145,0,1953,9,5773
145,0,1953,10,6374
145,0,1953,11,6775
145,0,1953,12,7020
145,0,1953,13,8828
145,0,1953,14,9435
145,0,1953,15,9898
145,0,1953,16,10233
145,0,1953,17,11822
145,0,1953,18,11853
145,0,1953,19,12886
145,0,1953,20,13877
145,0,1953,21,14047
145,0,1953,22,14104
145,0,1953,23,14438
145,0,1953,24,17123
145,0,1953,25,17277
145,1,1953,0,14075
145,1,1953,1,4192
145,1,1953,2,9706
145,1,1953,3,14681
145,1,1953,4,11024
145,1,1953,5,13784
