year,team_id,game_id,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,ir,irs,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,kp,bbp,kbbp,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,irsp,gfp,era,pig,ws,whip,gbfbp,kbb,babip,wpa,ra9war,sd,md
0,0,0,0,0,0,36234,8873,38966,10764,9615,2840,0,2732,6180,3986,0,0,0,0,1016,0,0,0,8,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,969,34,0,0,0,12.5237,0.2654,0.3169,0.2971,0.6139,9.7526,2.8806,0.0000,0.0000,0.0000,0.3885,2.7711,0.0000,3.6095,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.0431,0.0000,'',1.3915,0.0000,1.0395,0.2797,0.0000,'','',''
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,'','',''
0,0,0,0,0,0,37606,9554,39698,9943,8944,4000,0,2092,4937,3005,0,0,0,0,1088,0,0,0,6,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,91,0,0,0,10.3961,0.2378,0.2780,0.2644,0.5424,8.4254,3.7681,0.0000,0.0000,0.0000,0.3137,1.9707,0.0000,2.5294,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.8308,0.0000,'',1.1551,0.0000,1.9120,0.2588,0.0000,'','',''
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,'','',''
0,0,0,0,0,0,37845,9305,41457,11043,9930,3508,0,3612,6203,4161,0,0,0,0,1062,0,0,0,15,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,947,41,0,0,0,13.0981,0.2624,0.3267,0.2918,0.6184,9.6045,3.3930,0.0000,0.0000,0.0000,0.3588,3.4936,0.0000,3.7727,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.0246,0.0000,'',1.4553,0.0000,0.9712,0.2814,0.0000,'','',''
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,'','',''
0,0,0,0,0,0,37985,9490,41756,10286,9515,3707,0,3771,6010,3752,0,0,0,0,1078,0,0,0,10,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,982,54,0,0,0,12.6000,0.2505,0.3182,0.2708,0.5890,9.0237,3.5156,0.0000,0.0000,0.0000,0.2437,3.5763,0.0000,3.3769,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.5583,0.0000,'',1.4000,0.0000,0.9830,0.2721,0.0000,'','',''
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,'','',''
0,0,0,0,0,0,39116,9757,42908,10730,9845,3642,0,3792,6114,3624,0,0,0,0,1104,0,0,0,26,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,948,51,0,0,0,12.5790,0.2517,0.3178,0.2743,0.5921,9.0812,3.3594,0.0000,0.0000,0.0000,0.2721,3.4978,0.0000,3.4030,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.3428,0.0000,'',1.3977,0.0000,0.9604,0.2715,0.0000,'','',''
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,'','',''
0,0,0,0,0,0,63940,16103,70118,16882,15631,5955,0,6178,9388,5877,0,0,0,0,1842,0,0,0,24,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,1623,90,0,0,0,12.1891,0.2445,0.3110,0.2640,0.5751,8.7362,3.3283,0.0000,0.0000,0.0000,0.2331,3.4529,0.0000,3.1623,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.2847,0.0000,'',1.3543,0.0000,0.9639,0.2643,0.0000,'','',''
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,'','',''
0,0,0,0,0,0,57501,13862,63643,17295,15915,3339,0,6142,10315,7177,0,0,0,0,1570,0,0,0,32,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,43,0,0,0,14.3207,0.2768,0.3466,0.3008,0.6474,10.3329,2.1679,0.0000,0.0000,0.0000,0.2987,3.9877,0.0000,4.3493,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.6597,0.0000,'',1.5912,0.0000,0.5436,0.2878,0.0000,'','',''
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,'','',''
0,0,0,0,0,0,58846,13728,64653,19543,17662,3304,0,5807,11678,8109,0,0,0,0,1586,0,0,0,35,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,31,0,0,0,15.3861,0.3001,0.3630,0.3321,0.6951,11.5791,2.1661,0.0000,0.0000,0.0000,0.4111,3.8070,0.0000,5.1557,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,5.3162,0.0000,'',1.7096,0.0000,0.5690,0.3102,0.0000,'','',''
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,'','',''
0,0,0,0,0,0,58007,13748,63109,18215,16763,3602,0,5102,10482,7297,0,0,0,0,1592,0,0,0,45,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,46,0,0,0,14.3137,0.2890,0.3465,0.3140,0.6605,10.9737,2.3580,0.0000,0.0000,0.0000,0.3168,3.3400,0.0000,4.5045,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.7769,0.0000,'',1.5904,0.0000,0.7060,0.3019,0.0000,'','',''
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,'','',''
0,0,0,0,0,0,57407,13757,62261,17348,16136,3522,0,4854,9555,6657,0,0,0,0,1584,0,0,0,28,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,57,0,0,0,13.7319,0.2811,0.3371,0.3022,0.6393,10.5564,2.3041,0.0000,0.0000,0.0000,0.2643,3.1755,0.0000,4.1413,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,4.3551,0.0000,'',1.5258,0.0000,0.7256,0.2942,0.0000,'','',''
